timestamps,FP1,FP2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6
1605290410.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0
1605290410.004,-5.35699446097502,42.997267292286594,20.318895857175583,12.319802609292775,-7.095555413137986,5.271351064316808,-0.7322510414282133,-1.4173982146944069,4.312145021744137,-0.869280476081452,25.637350789654413,24.91794625772491,15.976775646601084,13.184800915541343,-4.123729549095872,-11.137923735408528
1605290410.008,-25.791508903639244,42.4063278553445,11.411982604715067,17.835237354085635,-7.206891828793743,8.25174126802475,-7.609415793087631,-0.0813612268253293,-4.243630304417455,-0.8178944380864874,20.438796612497168,24.892253238727427,7.617980132753521,13.86138374914171,-7.078426733806332,-4.680411627374654
1605290410.0119998,-26.973387777523428,33.67926573586636,5.639617669947387,6.590259372854231,-9.699114671549522,-2.1881887846188746,-16.156626779583398,-9.699114671549522,-10.555548638132263,-9.296590707255634,14.85484715037769,11.93440732433054,-5.065806912336888,1.597249347676845,-11.857328267338032,-4.731797665369618
1605290410.0159998,-26.20259720759896,35.126639139391195,14.400937148088838,-0.9206665140764164,-6.444665598535102,-9.690550331883694,-7.737880888075042,-12.92787072556646,-0.4667565117875632,-9.956044861524344,20.550133028152924,9.71624335088124,-0.2269550011443954,-4.192244266422491,-5.082935591668543,-9.562085236896284
1605290410.0199995,-26.13408249027234,46.59428995193411,24.952203616388218,7.463822018768628,-6.992783337148057,-5.716696726939771,2.565019729915343,-7.189763149462088,3.6441265278095982,-6.110656351567833,27.615713252460548,22.545624170290715,15.634202059967986,4.551946532387305,-5.160014648660989,-14.78633243305101
1605290410.0239997,-22.896762096589576,47.10815033188376,25.14918342870225,10.649756374456429,-11.137923735408528,-5.39125181963833,-0.9206665140764164,-11.309210528725076,-3.7554629434652926,-12.148515815976165,25.25195550469218,23.333543419546835,17.141525841153612,6.059270313572931,-11.985793362325444,-20.438796612497107
1605290410.0279996,-32.1805062943465,43.579642389562856,21.80052661936373,9.176689951934112,-5.100064271000197,-3.806848981460257,-3.3957606775005407,-14.25534337376971,-0.1841333028152583,-12.842227328908184,23.068048889906187,18.43474113069356,13.96415582513164,4.226501625085863,-5.5111525749599135,-15.265935454337344
1605290410.0319996,-36.83950707255661,44.8728576791028,14.546530922407904,11.883021286335577,-1.2118540627145489,2.402297276264622,-6.050705973907041,-8.208919569695551,3.498532753490532,-5.065806912336888,17.424149050125916,20.32746019684141,11.086537697413624,8.705651270313604,2.2395748226139016,-1.4259625543602343
1605290410.0359995,-38.423909910734686,42.14939766536968,9.459313160906415,9.724807690547069,-8.388770702677927,0.0299751888304271,-11.62609109636069,-8.97971013962002,-4.089472190432562,-8.945452780956709,9.502134859235554,18.888651132982407,3.018929732204197,6.341893522545235,-2.1624957656213923,-1.2546757610436858
1605290410.0399995,-43.314147859922144,42.354941817349534,17.218604898146058,7.429564660105318,-8.73990862897685,-5.1171929503318525,-5.982191256580422,-12.799405630579049,-3.173087846189028,-15.197420737010724,14.709253376058625,17.706772259098223,6.890011261158191,1.759971801327566,-2.6934848249026926,-10.341440146486578
1605290410.0439994,-38.13272236209656,50.53388619821472,22.16022888532848,10.350004486152468,-8.534364476996993,-4.286452002746593,-0.9634882124055536,-9.596342595559593,1.3403191577020224,-11.506190341039108,20.67003378347451,22.91389077592129,18.64884962233924,6.3675865415427175,-2.787692561226794,-11.651784115358174
